chapter_order,chapter_title,topic_code,topic_title,slo_code,slo_text,cognitive_level
1,Complex Numbers,1.1,Complex Numbers,1.1.1,"Describe the complex number $z = a + ib$ in the form $(a, b)$ and vice versa, where $a$ and $b$ are real numbers and $i = \sqrt{-1}$",U
1,Complex Numbers,1.1,Complex Numbers,1.1.2,Describe the complex plane and the representation of a complex number on a complex plane,U
1,Complex Numbers,1.1,Complex Numbers,1.1.3,Identify $a$ as the real part and $b$ as the imaginary part of $z = a + ib$,U
1,Complex Numbers,1.1,Complex Numbers,1.1.4,Apply the condition of equality of complex numbers to solve problems,A
1,Complex Numbers,1.1,Complex Numbers,1.1.5,"Apply fundamental operations such as addition, subtraction, multiplication and division on complex numbers",A
1,Complex Numbers,1.1,Complex Numbers,1.1.6,"State $\bar{z} = a - ib$, the complex conjugate of $z = a + ib$",R
1,Complex Numbers,1.1,Complex Numbers,1.1.7,"Calculate $|z| = \sqrt{a^2 + b^2}$, the absolute value or modulus of a complex number $z = a + ib$",A
1,Complex Numbers,1.2,Triangular Inequality,1.2.1,Define the triangular inequality of a complex number,FA
1,Complex Numbers,1.3,Factorisation and Solution of Equations,1.3.1,Factorise quadratic and cubic polynomials involving complex roots,A
1,Complex Numbers,1.3,Factorisation and Solution of Equations,1.3.2,Solve simultaneous linear equations with complex coefficients,A
1,Complex Numbers,1.3,Factorisation and Solution of Equations,1.3.3,"Solve quadratic equations of the form $pz^2 + qz + r = 0$ by completing the square, where $p$, $q$, $r$ are real and $p \neq 0$",A
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.1,Define the polar coordinate system,R
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.2,Describe the polar representation of a complex number,U
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.3,Convert complex numbers between rectangular and polar representation,A
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.4,Describe De-Moivre's theorem,U
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.5,Describe the multiplication and division properties of complex numbers in polar form,U
1,Complex Numbers,1.4,Complex Numbers in Polar Coordinates,1.4.6,Solve problems of multiplication and division of complex numbers in polar form,A
1,Complex Numbers,1.5,Real World Application of Complex Numbers,1.5.1,Apply the concepts of complex numbers to real world problems,FA
2,Matrices and Determinants,2.1,Matrices,2.1.1,"Apply matrix operations such as addition, subtraction and multiplication of matrices with real and complex entries",A
2,Matrices and Determinants,2.1,Matrices,2.1.2,"Describe special matrix types: upper/lower triangular, transpose, symmetric/skew-symmetric, hermitian/skew-hermitian, involutory, nilpotent, idempotent, periodic, orthogonal matrices",R
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.1,Explain the properties of determinants,U
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.2,Find the determinant of a square matrix,A
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.3,Find the minor and cofactor of elements of a square matrix,A
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.4,Find the adjoint of a square matrix,A
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.5,Solve problems related to singular and non-singular matrices,A
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.6,Evaluate the determinant without expansion using properties of determinants,E
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.7,"Define elementary row operations, echelon and reduced echelon forms",R
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.8,Find the inverse of a matrix using row operations,A
2,Matrices and Determinants,2.2,Determinants of Matrices of Order 3,2.2.9,Find the rank of a matrix using row operations,A
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.1,Explain homogeneous and non-homogeneous linear equations in two and three unknowns,U
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.2,"Explain solutions of linear systems as consistent/inconsistent and trivial/non-trivial",U
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.3,Solve a system of three non-homogeneous linear equations using matrix inversion ($X = A^{-1}B$) and Cramer's rule,A
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.4,Solve a system of three linear equations using Gauss elimination method (echelon form),A
