chapter_order,chapter_title,topic_code,topic_title,slo_code,slo_text,cognitive_level
1,Physical Quantities and Measurement,1.1,Physical Quantities,1.1.1,Discuss that all physical quantities consist of a numerical magnitude and a unit,E
1,Physical Quantities and Measurement,1.1,Physical Quantities,1.1.2,Determine appropriate values of physical quantities,A
1,Physical Quantities and Measurement,1.1,Physical Quantities,1.1.3,Identify the SI base quantities and their units,U
1,Physical Quantities and Measurement,1.1,Physical Quantities,1.1.4,Discuss derived units as products or quotients of the SI base units,E
1,Physical Quantities and Measurement,1.1,Physical Quantities,1.1.5,Use SI base units to check the homogeneity of physical equations,A
1,Physical Quantities and Measurement,1.2,Dimensions,1.2.1,Describe the concept of dimensions,U
1,Physical Quantities and Measurement,1.2,Dimensions,1.2.2,Discuss various physical quantities in terms of their dimensions,E
1,Physical Quantities and Measurement,1.2,Dimensions,1.2.3,Show the homogeneity of physical equations by using dimensions,A
1,Physical Quantities and Measurement,1.2,Dimensions,1.2.4,Derive the formula for physical quantities by using dimensions,A
1,Physical Quantities and Measurement,1.3,Precision and Accuracy,1.3.1,Differentiate between precision and accuracy,U
1,Physical Quantities and Measurement,1.3,Precision and Accuracy,1.3.2,Analyse the accuracy and precision of data collected using different measuring instruments,An
1,Physical Quantities and Measurement,1.4,Significant Figures and Uncertainty,1.4.1,Solve word problems related to uncertainty in derived quantity with correct number of significant figures,A
1,Physical Quantities and Measurement,1.4,Significant Figures and Uncertainty,1.4.2,Justify that all measurements contain uncertainty,E
2,Scalars and Vectors,2.1,Introduction to Vectors,2.1.1,Differentiate between scalar and vector quantities,U
2,Scalars and Vectors,2.1,Introduction to Vectors,2.1.2,"Define resultant, negative, unit, null, position, and equal vectors",FA
2,Scalars and Vectors,2.2,Addition of Vectors by Rectangular Component Method,2.2.1,Analyse a vector into its rectangular components,An
2,Scalars and Vectors,2.2,Addition of Vectors by Rectangular Component Method,2.2.2,Explain the sum of vectors using perpendicular components,U
2,Scalars and Vectors,2.2,Addition of Vectors by Rectangular Component Method,2.2.3,Calculate the resultant of two vectors by rectangular component method,A
2,Scalars and Vectors,2.3,Scalar Product of Two Vectors,2.3.1,Define scalar product of two vectors,R
2,Scalars and Vectors,2.3,Scalar Product of Two Vectors,2.3.2,Exemplify scalar product of two vectors in terms of angle between them,U
2,Scalars and Vectors,2.3,Scalar Product of Two Vectors,2.3.3,Describe properties of scalar product of two vectors,U
2,Scalars and Vectors,2.4,Vector Product of Two Vectors,2.4.1,Define vector product of two vectors,R
2,Scalars and Vectors,2.4,Vector Product of Two Vectors,2.4.2,Exemplify vector product of two vectors in terms of angle between them,U
2,Scalars and Vectors,2.4,Vector Product of Two Vectors,2.4.3,Describe properties of vector product of two vectors,U
3,Motion in One Dimension,3.1,Equations of Motion,3.1.1,Derive equations of motion for a body moving with a uniform acceleration in a straight line,A
3,Motion in One Dimension,3.1,Equations of Motion,3.1.2,Solve word problems related to uniformly accelerated motion including free fall using appropriate equations,A
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.1,Describe law of conservation of linear momentum,U
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.2,"Exemplify the law of conservation of momentum in: a. karate chops to break a pile of bricks, b. car crashes, c. ball and bat, d. motion under thrust of a rocket in a straight line",U
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.3,Derive the relation between force and the rate of change of momentum,FA
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.4,Define elastic and inelastic collision,R
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.5,Apply law of conservation of momentum to study the special cases of elastic collision between two bodies in one dimension,A
3,Motion in One Dimension,3.2,Law of Conservation of Momentum,3.2.6,Apply law of conservation of momentum in one dimension in solving word problems,A
3,Motion in One Dimension,3.3,Work,3.3.1,Describe work as the dot product of force and displacement,U
3,Motion in One Dimension,3.3,Work,3.3.2,Deduce the work done from the force displacement graphs,E
3,Motion in One Dimension,3.4,Conservative and Non-Conservative Fields,3.4.1,Differentiate between conservative and non-conservative field,U
3,Motion in One Dimension,3.5,Work-Energy Theorem,3.5.1,Deduce the work-energy theorem in non-resistive and resistive medium,E
3,Motion in One Dimension,3.5,Work-Energy Theorem,3.5.2,Solve word problems related to the work-energy theorem,A
4,Motion in Two Dimensions,4.1,Projectile,4.1.1,Explain projectile motion,U
4,Motion in Two Dimensions,4.1,Projectile,4.1.2,"Derive the relation for: a. time of flight, b. maximum height, c. horizontal range of a projectile, d. maximum horizontal range of a projectile",A
4,Motion in Two Dimensions,4.1,Projectile,4.1.3,"Solve word problems related to the given relations (a, b, c and d)",A
4,Motion in Two Dimensions,4.1,Projectile,4.1.4,Predict qualitatively the effect of air resistance on the motion of a projectile,E
4,Motion in Two Dimensions,4.2,Angular Motion,4.2.1,"Describe angular displacement, angular velocity and angular acceleration",U
4,Motion in Two Dimensions,4.2,Angular Motion,4.2.2,"Derive the relationship between linear and angular displacement, velocity and acceleration",A
4,Motion in Two Dimensions,4.2,Angular Motion,4.2.3,Solve word problems related to the rotational motion,A
